Environment,Seed,Step,Reward,Runtime_Hours,Runtime_seconds
AcrobotSwingup,42,0,2.561237335,0.04590428,165.2554085
AcrobotSwingup,42,6,1.927339792,0.04590428,165.2554085
AcrobotSwingup,42,13,5.060452461,0.04590428,165.2554085
AcrobotSwingup,42,20,10.39834023,0.04590428,165.2554085
AcrobotSwingup,42,26,10.02457333,0.04590428,165.2554085
AcrobotSwingup,42,33,20.1204319,0.04590428,165.2554085
AcrobotSwingup,42,40,26.44520569,0.04590428,165.2554085
AcrobotSwingup,42,46,37.72209167,0.04590428,165.2554085
AcrobotSwingup,42,53,52.03204346,0.04590428,165.2554085
AcrobotSwingup,42,60,54.65567017,0.04590428,165.2554085
PendulumSwingup,42,0,1,0.046219186,166.3890694
PendulumSwingup,42,6,1.9296875,0.046219186,166.3890694
PendulumSwingup,42,13,4.1484375,0.046219186,166.3890694
PendulumSwingup,42,20,13.0390625,0.046219186,166.3890694
PendulumSwingup,42,26,501.109375,0.046219186,166.3890694
PendulumSwingup,42,33,654.234375,0.046219186,166.3890694
PendulumSwingup,42,40,744.2265625,0.046219186,166.3890694
PendulumSwingup,42,46,674.328125,0.046219186,166.3890694
PendulumSwingup,42,53,687.1171875,0.046219186,166.3890694
PendulumSwingup,42,60,731.1796875,0.046219186,166.3890694
FingerSpin,42,0,0.40625,0.110104632,396.3766743
FingerSpin,42,6,86.1484375,0.110104632,396.3766743
FingerSpin,42,13,387.9140625,0.110104632,396.3766743
FingerSpin,42,20,515.3984375,0.110104632,396.3766743
FingerSpin,42,26,562.7109375,0.110104632,396.3766743
FingerSpin,42,33,591.953125,0.110104632,396.3766743
FingerSpin,42,40,604.4375,0.110104632,396.3766743
FingerSpin,42,46,608.7421875,0.110104632,396.3766743
FingerSpin,42,53,604.3046875,0.110104632,396.3766743
FingerSpin,42,60,589.0546875,0.110104632,396.3766743
WalkerRun,42,0,23.64693451,0.169750155,611.1005585
WalkerRun,42,6,87.49180603,0.169750155,611.1005585
WalkerRun,42,13,238.0926666,0.169750155,611.1005585
WalkerRun,42,20,474.6854248,0.169750155,611.1005585
WalkerRun,42,26,541.4663696,0.169750155,611.1005585
WalkerRun,42,33,538.720459,0.169750155,611.1005585
WalkerRun,42,40,548.8658447,0.169750155,611.1005585
WalkerRun,42,46,570.6680908,0.169750155,611.1005585
WalkerRun,42,53,529.9833984,0.169750155,611.1005585
WalkerRun,42,60,561.8446045,0.169750155,611.1005585
HopperHop,42,0,0.004162434,0.149800703,539.28253
HopperHop,42,6,0.846065044,0.149800703,539.28253
HopperHop,42,13,0.69682014,0.149800703,539.28253
HopperHop,42,20,12.99084091,0.149800703,539.28253
HopperHop,42,26,36.15411377,0.149800703,539.28253
HopperHop,42,33,58.74227142,0.149800703,539.28253
HopperHop,42,40,57.24494171,0.149800703,539.28253
HopperHop,42,46,60.39391327,0.149800703,539.28253
HopperHop,42,53,63.84854889,0.149800703,539.28253
HopperHop,42,60,78.12120056,0.149800703,539.28253
WalkerStand,42,0,132.8550415,0.146472451,527.3008251
WalkerStand,42,6,449.6794128,0.146472451,527.3008251
WalkerStand,42,13,928.4588623,0.146472451,527.3008251
WalkerStand,42,20,959.4361572,0.146472451,527.3008251
WalkerStand,42,26,931.8190918,0.146472451,527.3008251
WalkerStand,42,33,939.4334717,0.146472451,527.3008251
WalkerStand,42,40,939.541748,0.146472451,527.3008251
WalkerStand,42,46,942.1660156,0.146472451,527.3008251
HopperStand,42,0,0.856898904,0.147043999,529.3583972
HopperStand,42,6,6.557285309,0.147043999,529.3583972
HopperStand,42,13,4.694968224,0.147043999,529.3583972
HopperStand,42,20,7.463487148,0.147043999,529.3583972
HopperStand,42,26,39.0461235,0.147043999,529.3583972
HopperStand,42,33,47.56230164,0.147043999,529.3583972
HopperStand,42,40,63.15203857,0.147043999,529.3583972
HopperStand,42,46,132.9222412,0.147043999,529.3583972
HopperStand,42,53,0,0.147043999,529.3583972
HopperStand,42,60,0,0.147043999,529.3583972
FishSwim,42,0,71.7013855,0.139746823,503.0885638
FishSwim,42,6,120.1711121,0.139746823,503.0885638
FishSwim,42,13,212.2255249,0.139746823,503.0885638
FishSwim,42,20,409.4201965,0.139746823,503.0885638
FishSwim,42,26,535.7435303,0.139746823,503.0885638
FishSwim,42,33,553.1170044,0.139746823,503.0885638
FishSwim,42,40,583.4127197,0.139746823,503.0885638
FishSwim,42,46,618.3265381,0.139746823,503.0885638
FishSwim,42,53,517.8560181,0.139746823,503.0885638
FishSwim,42,60,636.7564697,0.139746823,503.0885638
CheetahRun,42,0,3.471764088,0.094474933,340.1097575
CheetahRun,42,6,252.2892456,0.094474933,340.1097575
CheetahRun,42,13,582.6505737,0.094474933,340.1097575
CheetahRun,42,20,741.1550293,0.094474933,340.1097575
CheetahRun,42,26,804.2782593,0.094474933,340.1097575
CheetahRun,42,33,850.3571167,0.094474933,340.1097575
CheetahRun,42,40,874.760376,0.094474933,340.1097575
CheetahRun,42,46,890.9587402,0.094474933,340.1097575
CheetahRun,42,53,866.053894,0.094474933,340.1097575
CheetahRun,42,60,885.8709717,0.094474933,340.1097575
CartpoleSwingupSparse,42,0,0,0.048910061,176.0762201
CartpoleSwingupSparse,42,6,0,0.048910061,176.0762201
CartpoleSwingupSparse,42,13,3.9765625,0.048910061,176.0762201
CartpoleSwingupSparse,42,20,24.234375,0.048910061,176.0762201
CartpoleSwingupSparse,42,26,4.3984375,0.048910061,176.0762201
CartpoleSwingupSparse,42,33,15.5390625,0.048910061,176.0762201
CartpoleSwingupSparse,42,40,23.28125,0.048910061,176.0762201
CartpoleSwingupSparse,42,46,11.875,0.048910061,176.0762201
CartpoleSwingupSparse,42,53,1.4140625,0.048910061,176.0762201
CartpoleSwingupSparse,42,60,2,0.048910061,176.0762201
AcrobotSwingupSparse,42,0,0.0703125,0.048632632,175.0774738
AcrobotSwingupSparse,42,6,0,0.048632632,175.0774738
AcrobotSwingupSparse,42,13,0,0.048632632,175.0774738
AcrobotSwingupSparse,42,20,0.4765625,0.048632632,175.0774738
AcrobotSwingupSparse,42,26,0,0.048632632,175.0774738
AcrobotSwingupSparse,42,33,0.1796875,0.048632632,175.0774738
AcrobotSwingupSparse,42,40,0.1640625,0.048632632,175.0774738
AcrobotSwingupSparse,42,46,0.3984375,0.048632632,175.0774738
AcrobotSwingupSparse,42,53,0.3203125,0.048632632,175.0774738
AcrobotSwingupSparse,42,60,0.328125,0.048632632,175.0774738
WalkerWalk,42,0,33.54547882,0.168132157,605.2757668
WalkerWalk,42,6,277.1481934,0.168132157,605.2757668
WalkerWalk,42,13,603.7075195,0.168132157,605.2757668
WalkerWalk,42,20,925.2167969,0.168132157,605.2757668
WalkerWalk,42,26,959.80896,0.168132157,605.2757668
WalkerWalk,42,33,914.8000488,0.168132157,605.2757668
WalkerWalk,42,40,909.5657349,0.168132157,605.2757668
WalkerWalk,42,46,923.9370117,0.168132157,605.2757668
WalkerWalk,42,53,901.1221313,0.168132157,605.2757668
WalkerWalk,42,60,876.8743286,0.168132157,605.2757668
FingerSpin,43,0,0.234375,0.110657001,398.3652048
FingerSpin,43,6,62.828125,0.110657001,398.3652048
FingerSpin,43,13,357.71875,0.110657001,398.3652048
FingerSpin,43,20,547.59375,0.110657001,398.3652048
FingerSpin,43,26,750.1171875,0.110657001,398.3652048
FingerSpin,43,33,866.7734375,0.110657001,398.3652048
FingerSpin,43,40,931.4609375,0.110657001,398.3652048
FingerSpin,43,46,938.8359375,0.110657001,398.3652048
FingerSpin,43,53,947.2578125,0.110657001,398.3652048
FingerSpin,43,60,901.0546875,0.110657001,398.3652048
PendulumSwingup,43,0,0.8984375,0.045854706,165.0769398
PendulumSwingup,43,6,0.6875,0.045854706,165.0769398
PendulumSwingup,43,13,0.9140625,0.045854706,165.0769398
PendulumSwingup,43,20,29.0703125,0.045854706,165.0769398
PendulumSwingup,43,26,51.8046875,0.045854706,165.0769398
PendulumSwingup,43,33,457.5390625,0.045854706,165.0769398
PendulumSwingup,43,40,623.9140625,0.045854706,165.0769398
PendulumSwingup,43,46,522.34375,0.045854706,165.0769398
PendulumSwingup,43,53,61.03125,0.045854706,165.0769398
PendulumSwingup,43,60,43.890625,0.045854706,165.0769398
AcrobotSwingup,43,0,3.721288204,0.045578115,164.0812148
AcrobotSwingup,43,6,4.874207497,0.045578115,164.0812148
AcrobotSwingup,43,13,4.572010994,0.045578115,164.0812148
AcrobotSwingup,43,20,8.809984207,0.045578115,164.0812148
AcrobotSwingup,43,26,13.13345146,0.045578115,164.0812148
AcrobotSwingup,43,33,12.62313843,0.045578115,164.0812148
AcrobotSwingup,43,40,23.01686478,0.045578115,164.0812148
AcrobotSwingup,43,46,31.65738106,0.045578115,164.0812148
AcrobotSwingup,43,53,37.89870453,0.045578115,164.0812148
